,run,step,small triangle,middle triangle,big triangle,square,parallelogram
79,4,12,"{(9.0, 270.0), (3.0, 0.0)}","{(6.0, 225.0)}","{(12.0, 180.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
80,4,13,"{(9.0, 270.0), (3.0, 0.0)}","{(6.0, 225.0)}","{(12.0, 180.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
81,4,14,"{(9.0, 270.0), (3.0, 0.0)}","{(6.0, 225.0)}","{(12.0, 180.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
82,4,15,"{(9.0, 270.0), (3.0, 0.0)}","{(6.0, 225.0)}","{(12.0, 180.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
83,4,16,"{(9.0, 270.0), (3.0, 0.0)}","{(6.0, 225.0)}","{(12.0, 180.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
84,4,17,"{(9.0, 270.0), (3.0, 0.0)}","{(6.0, 225.0)}","{(12.0, 180.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
85,5,1,set(),set(),"{(2.0, 0.0)}",set(),set()
86,5,2,"{(22.0, 45.0)}",set(),"{(2.0, 0.0)}",set(),set()
87,5,3,"{(22.0, 45.0)}",set(),"{(2.0, 0.0), (13.0, 0.0)}",set(),set()
88,5,4,"{(22.0, 45.0)}","{(11.0, 0.0)}","{(2.0, 0.0)}",set(),set()
89,5,5,"{(22.0, 45.0)}","{(11.0, 0.0)}","{(2.0, 0.0)}",set(),"{(13.0, 90.0)}"
90,5,6,"{(13.0, 180.0), (22.0, 45.0)}","{(11.0, 0.0)}","{(2.0, 0.0)}",set(),set()
91,5,7,"{(22.0, 45.0), (11.0, 180.0)}","{(11.0, 0.0)}","{(2.0, 0.0)}",set(),set()
92,5,8,"{(11.0, 180.0)}","{(11.0, 0.0)}","{(2.0, 0.0)}",set(),"{(13.0, 90.0)}"
93,5,9,"{(22.0, 45.0), (11.0, 180.0)}","{(11.0, 0.0)}","{(2.0, 0.0)}",set(),set()
94,5,10,"{(22.0, 45.0), (11.0, 180.0)}",set(),"{(2.0, 0.0), (13.0, 0.0)}",set(),set()
95,5,11,"{(22.0, 45.0), (11.0, 180.0)}","{(17.0, 135.0)}","{(2.0, 0.0)}",set(),set()
96,5,12,"{(22.0, 45.0), (11.0, 180.0)}","{(8.0, 45.0)}","{(2.0, 0.0)}",set(),set()
97,5,13,"{(11.0, 180.0)}","{(8.0, 45.0)}","{(2.0, 0.0), (13.0, 0.0)}",set(),set()
98,5,14,"{(22.0, 315.0), (11.0, 180.0)}","{(8.0, 45.0)}","{(2.0, 0.0), (13.0, 0.0)}",set(),set()
99,5,15,"{(11.0, 180.0)}","{(8.0, 45.0)}","{(2.0, 0.0), (13.0, 0.0)}",set(),"{(16.0, 45.0)}"
100,5,16,"{(11.0, 180.0)}","{(8.0, 45.0)}","{(2.0, 0.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
101,5,17,"{(5.0, 90.0), (11.0, 180.0)}","{(8.0, 45.0)}","{(2.0, 0.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
102,6,1,set(),set(),"{(2.0, 0.0)}",set(),set()
103,6,2,set(),set(),"{(2.0, 0.0)}",set(),"{(16.0, 45.0)}"
104,6,3,set(),set(),"{(2.0, 0.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
105,6,4,set(),set(),"{(2.0, 0.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
106,6,5,"{(11.0, 180.0)}",set(),"{(2.0, 0.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
107,6,6,"{(5.0, 90.0), (11.0, 180.0)}",set(),"{(2.0, 0.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
108,6,7,"{(5.0, 90.0), (11.0, 180.0)}","{(8.0, 45.0)}","{(2.0, 0.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
109,6,8,"{(5.0, 90.0), (11.0, 180.0)}","{(8.0, 45.0)}","{(2.0, 0.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
110,6,9,"{(5.0, 90.0), (11.0, 180.0)}","{(8.0, 45.0)}","{(2.0, 0.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
111,6,10,"{(5.0, 90.0), (11.0, 180.0)}","{(8.0, 45.0)}","{(2.0, 0.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
112,6,11,"{(5.0, 90.0), (11.0, 180.0)}","{(8.0, 45.0)}","{(2.0, 0.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
113,6,12,"{(5.0, 90.0), (11.0, 180.0)}","{(8.0, 45.0)}","{(2.0, 0.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
114,6,13,"{(5.0, 90.0), (11.0, 180.0)}","{(8.0, 45.0)}","{(2.0, 0.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
115,6,14,"{(5.0, 90.0), (11.0, 180.0)}","{(8.0, 45.0)}","{(2.0, 0.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
116,6,15,"{(5.0, 90.0), (11.0, 180.0)}","{(8.0, 45.0)}","{(2.0, 0.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
117,6,16,"{(5.0, 90.0), (11.0, 180.0)}","{(8.0, 45.0)}","{(2.0, 0.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
118,6,17,"{(5.0, 90.0), (11.0, 180.0)}","{(8.0, 45.0)}","{(2.0, 0.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
119,7,1,set(),set(),"{(12.0, 180.0)}",set(),set()
