,sid,tangram nr,step,small triangle,middle triangle,big triangle,square,parallelogram
136,92836,1,9,"{(9.0, 315.0)}","{(16.0, 135.0)}","{(7.0, 45.0), (7.0, 225.0)}","{(8.0, 0.0)}","{(17.0, 90.0)}"
137,92836,1,10,"{(9.0, 315.0)}","{(17.0, 0.0)}","{(7.0, 45.0), (7.0, 225.0)}","{(8.0, 0.0)}","{(17.0, 90.0)}"
138,92836,1,11,"{(9.0, 315.0)}","{(17.0, 0.0)}","{(7.0, 45.0), (7.0, 225.0)}","{(8.0, 0.0)}","{(25.0, 90.0)}"
139,92836,1,12,"{(9.0, 315.0)}","{(17.0, 0.0)}","{(7.0, 45.0), (7.0, 225.0)}","{(8.0, 0.0)}","{(25.0, 90.0)}"
140,92836,1,13,"{(9.0, 315.0)}","{(14.0, 0.0)}","{(7.0, 45.0), (7.0, 225.0)}","{(8.0, 0.0)}","{(25.0, 90.0)}"
141,92836,1,14,"{(9.0, 315.0)}","{(14.0, 0.0)}","{(17.0, 0.0), (7.0, 225.0)}","{(8.0, 0.0)}","{(25.0, 90.0)}"
142,92836,1,15,"{(9.0, 315.0)}","{(11.0, 45.0)}","{(17.0, 0.0), (7.0, 225.0)}","{(8.0, 0.0)}","{(25.0, 90.0)}"
143,92836,1,16,"{(9.0, 315.0)}","{(11.0, 45.0)}","{(17.0, 0.0), (7.0, 225.0)}","{(3.0, 0.0)}","{(25.0, 90.0)}"
144,92836,2,1,set(),set(),"{(13.0, 0.0)}",set(),set()
145,92836,2,2,set(),set(),"{(13.0, 0.0)}","{(22.0, 0.0)}",set()
146,92836,2,3,"{(10.0, 135.0)}",set(),"{(13.0, 0.0)}","{(22.0, 0.0)}",set()
147,92836,2,4,"{(12.0, 315.0), (10.0, 135.0)}",set(),"{(13.0, 0.0)}","{(22.0, 0.0)}",set()
148,92836,2,5,"{(12.0, 315.0), (10.0, 135.0)}",set(),"{(12.0, 180.0), (13.0, 0.0)}","{(22.0, 0.0)}",set()
149,92836,2,6,"{(12.0, 315.0), (10.0, 135.0)}","{(8.0, 135.0)}","{(12.0, 180.0), (13.0, 0.0)}","{(22.0, 0.0)}",set()
150,92836,2,7,"{(12.0, 315.0)}","{(8.0, 135.0)}","{(12.0, 180.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(10.0, 45.0)}"
151,92836,2,8,"{(1.0, 315.0)}","{(8.0, 135.0)}","{(12.0, 180.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(10.0, 45.0)}"
152,92836,2,9,"{(1.0, 315.0)}","{(8.0, 135.0)}","{(12.0, 180.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(11.0, 45.0)}"
153,92836,2,10,set(),"{(17.0, 135.0)}","{(12.0, 180.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(11.0, 45.0)}"
154,92836,2,11,set(),set(),"{(7.0, 135.0)}","{(22.0, 0.0)}","{(11.0, 45.0)}"
155,92836,2,12,set(),set(),"{(7.0, 135.0)}","{(22.0, 0.0)}","{(11.0, 45.0)}"
156,92836,2,13,set(),set(),"{(13.0, 0.0)}","{(22.0, 0.0)}","{(11.0, 45.0)}"
157,92836,2,14,set(),set(),"{(12.0, 180.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(11.0, 45.0)}"
158,92836,2,15,set(),"{(6.0, 225.0)}","{(12.0, 180.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(11.0, 45.0)}"
159,92836,2,16,"{(4.0, 135.0)}","{(6.0, 225.0)}","{(12.0, 180.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(11.0, 45.0)}"
160,92836,3,1,set(),set(),"{(18.0, 225.0)}",set(),set()
161,92836,3,2,set(),set(),"{(18.0, 225.0)}",set(),"{(8.0, 90.0)}"
162,92836,3,3,set(),set(),"{(18.0, 225.0)}","{(2.0, 0.0)}","{(8.0, 90.0)}"
163,92836,3,4,set(),set(),"{(18.0, 225.0), (11.0, 135.0)}","{(2.0, 0.0)}","{(8.0, 90.0)}"
164,92836,3,5,"{(3.0, 315.0)}",set(),"{(18.0, 225.0), (11.0, 135.0)}","{(2.0, 0.0)}","{(8.0, 90.0)}"
165,92836,3,6,"{(1.0, 45.0), (3.0, 315.0)}",set(),"{(18.0, 225.0), (11.0, 135.0)}","{(2.0, 0.0)}","{(8.0, 90.0)}"
166,92836,3,7,"{(1.0, 45.0), (3.0, 315.0)}",set(),"{(11.0, 135.0), (14.0, 225.0)}","{(2.0, 0.0)}","{(8.0, 90.0)}"
167,92836,3,8,"{(1.0, 45.0), (3.0, 315.0)}",set(),"{(11.0, 135.0), (14.0, 225.0)}","{(2.0, 0.0)}","{(17.0, 135.0)}"
168,92836,3,9,"{(1.0, 45.0), (3.0, 315.0)}",set(),"{(13.0, 225.0), (11.0, 135.0)}","{(2.0, 0.0)}","{(17.0, 135.0)}"
169,92836,3,10,"{(1.0, 45.0), (3.0, 315.0)}",set(),"{(13.0, 225.0), (11.0, 135.0)}","{(2.0, 0.0)}","{(17.0, 0.0)}"
170,92836,3,11,"{(1.0, 45.0), (3.0, 315.0)}",set(),"{(13.0, 225.0), (11.0, 135.0)}","{(2.0, 0.0)}","{(17.0, 0.0)}"
171,92836,3,12,"{(1.0, 45.0), (3.0, 315.0)}",set(),"{(18.0, 225.0), (11.0, 135.0)}","{(2.0, 0.0)}",set()
172,92836,3,13,"{(1.0, 45.0), (3.0, 315.0)}",set(),"{(18.0, 225.0), (11.0, 135.0)}","{(7.0, 0.0)}",set()
173,92836,3,14,"{(1.0, 45.0), (3.0, 315.0)}",set(),"{(18.0, 225.0), (11.0, 135.0)}","{(7.0, 0.0)}",set()
174,92836,3,15,"{(1.0, 45.0), (3.0, 315.0)}",set(),"{(18.0, 225.0), (11.0, 135.0)}","{(2.0, 0.0)}",set()
175,92836,3,16,"{(1.0, 45.0), (3.0, 315.0)}",set(),"{(18.0, 225.0), (11.0, 135.0)}","{(2.0, 0.0)}",set()
176,92836,4,1,set(),set(),set(),"{(23.0, 0.0)}",set()
177,92836,4,2,"{(23.0, 0.0)}",set(),set(),"{(23.0, 0.0)}",set()
